MSRP;sedan;hatch;convert;minivan;miniSUV;SUV;wagon;subcom;compact;fullsize;luxury;sport;city;high;length;width;height;weight;luggage;horse;Cyl;Disp;fuel;AWD;FWD;4WD
30880;0;0;0;0;0;0;0;0;0;0;1;0;19;29;192;70,6;55,5;3510;13,6;260;6;3,2;17,2;0;1;0
20465;0;0;0;0;0;0;0;0;1;0;0;0;24;32;186,7;70,1;54,5;2961;14,6;140;4;2,2;14,1;0;1;0
13270;0;0;0;0;0;0;0;0;1;0;0;0;32;37;174,7;66,7;55,1;2405;12,9;115;4;1,7;13,2;0;1;0
21635;0;0;0;0;0;0;0;0;1;0;0;0;20;29;186,3;70,4;55,1;3091;14,6;175;6;3,4;14,1;0;1;0
12482;0;0;0;0;0;0;0;0;1;0;0;0;32;39;168,1;66,5;52,4;2183;11,5;92;4;1,5;12,4;0;1;0
10480;0;0;0;0;0;0;0;0;1;0;0;0;34;41;163,2;65,4;59,4;2035;13,6;108;4;1,5;11,9;0;1;0
31845;0;0;0;0;0;0;0;0;0;0;1;0;23;31;159,1;73,1;53;2921;13,8;180;4;1,8;14,5;0;1;0
29745;0;0;0;0;0;0;0;0;0;0;1;0;19;27;176,7;69,2;53,9;3197;9,5;184;6;2,5;16,6;0;0;0
15675;0;0;0;0;0;0;0;0;1;0;0;0;24;32;180,9;68,7;53;2749;13,2;115;4;2,2;14,1;0;1;0
13330;0;0;0;0;0;0;0;0;1;0;0;0;25;33;175,2;67,4;52,3;2464;11,8;130;4;2;12,8;0;1;0
39647;0;0;0;0;0;0;0;0;0;0;1;0;18;27;200,6;75,5;53,6;3814;15,3;275;8;4,6;19;0;1;0
21170;0;0;0;0;0;0;0;0;0;0;0;0;20;29;194,6;72,7;56,6;3353;16,7;175;6;3,1;17,5;0;1;0
23274;0;0;0;0;0;0;0;0;0;0;0;0;20;29;200;73,5;57;3567;18;205;6;3,8;18,5;0;1;0
16433;0;0;0;0;0;0;0;0;1;0;0;0;21;38;182;68,4;53;2771;12,4;140;4;2,2;14,1;0;1;0
13545;0;0;0;0;0;0;0;0;0;0;0;0;28;40;180,5;68,2;53;2379;11,4;100;4;1,9;12,1;0;1;0
38150;0;0;0;0;0;0;0;0;0;0;1;0;21;29;185,7;71,5;55,7;3200;13,1;236;5;2,3;18;0;1;0
21060;0;0;0;0;0;0;0;0;0;0;0;0;21;32;197,9;72,3;55,2;3340;15,8;180;6;3,4;17;0;1;0
21015;0;0;0;0;0;0;0;0;0;0;0;0;21;28;190,2;70,3;53,7;3099;16,3;142;4;2,4;16,3;0;1;0
21985;0;0;0;0;0;0;0;0;0;0;0;0;20;29;190,9;70,3;53,7;3201;16,3;200;6;3;16,3;0;1;0
18705;0;0;0;0;0;0;0;0;0;0;0;0;20;29;183,2;73,1;53,1;3066;10,9;190;6;3,8;15,5;0;0;0
21960;0;0;0;0;0;0;0;0;0;0;0;0;26;32;186,8;70,3;54,9;3014;13,6;150;4;2,3;17,1;0;1;0
23835;0;0;0;0;0;0;0;0;0;0;0;0;19;29;197,5;72,6;54,7;3429;16;200;6;3,8;17,5;0;1;0
19850;0;0;0;0;0;0;0;0;0;0;0;0;24;33;191,5;71,1;55,1;3075;13,8;157;4;2,4;18,5;0;1;0
51100;0;0;0;0;0;0;0;0;0;0;0;1;19;28;179,7;73,6;47,7;3116;13,3;405;8;5,7;18,5;0;0;0
83000;0;0;0;0;0;0;0;0;0;0;0;1;11;21;176,7;75,7;47;3479;9,2;460;10;8;19;0;0;0
68665;0;0;0;0;0;0;0;0;0;0;0;1;18;26;174,5;69,7;51,4;2910;4,6;320;6;3,6;16,9;0;0;0
33845;0;0;1;0;0;0;0;0;0;0;1;0;22;31;159,1;73,1;53;3131;7,8;180;4;1,8;14,5;0;1;0
