Life expectancy at birth;Televisions per 100 people;Population per doctor;Real GDP per capita (PPP)
65,60;7,40;2330,00;2870,00
71,10;22,20;330,00;5120,00
76,70;49,00;440,00;16680,00
75,70;47,00;230,00;17690,00
71,00;41,40;930,00;11536,00
52,20;0,50;6670,00;1160,00
75,30;26,50;1120,00;9667,00
71,00;27,00;250,00;6850,00
75,70;45,00;310,00;17510,00
46,10;0,50;14290,00;1500,00
60,50;10,50;2080,00;2170,00
60,30;1,60;5150,00;4690,00
65,80;21,50;670,00;5240,00
71,90;25,00;320,00;4813,00
47,90;0,50;33330,00;666,00
48,20;0,10;16670,00;640,00
50,40;0,80;25000,00;1250,00
55,30;2,30;12500,00;2400,00
77,20;64,00;450,00;19320,00
47,20;0,40;25000,00;641,00
46,90;0,10;33330,00;447,00
71,90;20,50;2170,00;7060,00
70,50;3,00;730,00;2946,00
69,00;11,80;1150,00;5460,00
51,70;0,60;8320,00;2800,00
76,00;14,80;1030,00;5100,00
51,60;6,10;16670,00;1510,00
76,70;15,00;750,00;9844,00
72,10;41,00;310,00;6570,00
75,30;54,00;390,00;17880,00
67,00;8,40;930,00;3080,00
66,20;8,30;960,00;4140,00
60,90;10,90;1320,00;3600,00
65,20;9,20;1560,00;2110,00
46,40;0,20;33330,00;370,00
75,40;50,00;410,00;16130,00
76,60;40,00;350,00;18430,00
52,90;3,70;2790,00;3498,00
75,60;57,00;370,00;19770,00
55,40;1,50;25000,00;930,00
77,30;20,00;580,00;7680,00
70,00;35,30;2120,00;3374,00
64,00;5,20;2270,00;3180,00
43,90;0,70;50000,00;500,00
64,60;3,80;6220,00;1862,00
56,00;0,50;7140,00;925,00
65,20;7,20;3130,00;1820,00
77,40;28,00;1080,00;18520,00
70,10;41,00;340,00;6080,00
59,70;3,20;2440,00;1150,00
62,00;6,00;7140,00;2730,00
66,60;6,50;3140,00;4670,00
75,00;29,00;630,00;11430,00
76,20;26,00;350,00;13460,00
76,90;42,00;210,00;17040,00
73,30;13,20;2040,00;3670,00
78,60;62,00;610,00;19390,00
67,30;8,10;770,00;2895,00
58,60;1,00;71430,00;1350,00
70,40;20,70;1370,00;8320,00
74,60;27,10;690,00;13126,00
50,30;0,70;4350,00;1760,00
75,20;26,00;550,00;20800,00
54,90;2,00;8330,00;710,00
70,40;14,80;2700,00;7400,00
45,40;0,10;20000,00;480,00
47,40;2,30;11900,00;962,00
69,60;21,70;1180,00;7178,00
69,90;14,60;1850,00;7170,00
69,00;16,70;250,00;3500,00
62,50;7,40;4840,00;3340,00
46,50;0,30;50000,00;921,00
58,00;2,10;4620,00;2381,00
52,70;0,20;16670,00;1130,00
77,20;50,00;410,00;16820,00
75,30;44,00;580,00;13970,00
65,40;6,50;1670,00;2550,00
45,90;0,50;33330,00;542,00
51,90;3,20;66670,00;1360,00
76,90;42,00;500,00;17170,00
69,10;75,50;1060,00;9230,00
58,30;1,80;2940,00;1970,00
72,50;16,50;840,00;4910,00
67,20;5,80;1610,00;3420,00
63,60;9,70;970,00;3110,00
64,60;4,80;8330,00;2440,00
71,50;30,00;490,00;4500,00
74,40;18,00;490,00;9450,00
66,00;3,70;3570,00;1869,00
68,70;26,90;660,00;10850,00
48,70;3,60;20000,00;1680,00
71,00;8,70;2170,00;3683,00
42,40;1,00;14290,00;1020,00
74,20;37,80;920,00;14734,00
46,40;1,20;14290,00;759,00
62,20;9,70;1640,00;3885,00
77,40;40,00;280,00;12670,00
71,20;3,50;7140,00;2650,00
51,20;7,10;11110,00;1162,00
69,90;13,00;1260,00;3072,00
57,30;2,10;18820,00;2506,00
77,70;47,00;370,00;17490,00
77,80;40,00;630,00;21780,00
66,40;6,00;1160,00;5220,00
51,20;0,20;33330,00;570,00
68,70;11,40;5000,00;5270,00
54,40;0,60;12500,00;738,00
70,90;31,30;940,00;8380,00
67,10;8,10;1870,00;4690,00
66,70;17,40;1260,00;4840,00
75,60;81,00;420,00;22130,00
42,60;1,00;25000,00;1036,00
70,00;33,00;230,00;5180,00
70,80;11,00;1020,00;17000,00
75,80;43,00;710,00;16340,00
72,40;23,30;350,00;6670,00
70,10;17,10;650,00;8120,00
45,50;3,10;11110,00;1010,00
56,10;3,00;62500,00;2160,00
