;All industry total;Private industries;Agriculture, forestry, fishing, and hunting;Mining, quarrying, and oil and gas extraction;Utilities;Construction;Manufacturing;Durable goods manufacturing;Nondurable goods manufacturing;Wholesale trade;Retail trade;Transportation and warehousing;Information;Finance and insurance;Real estate and rental and leasing;Professional, scientific, and technical services;Management of companies and enterprises;Administrative and support and waste management and remediation services;Educational services;Health care and social assistance;Arts, entertainment, and recreation;Accommodation and food services;Other services (except government and government enterprises);Government and government enterprises
2005:Q1;12761337,00;11077820,80;130472,20;197013,50;192325,60;628497,60;1673020,70;945528,10;727492,70;742767,90;824780,50;358230,10;641864,40;937845,80;1605119,10;835694,60;209399,70;369891,00;131123,60;822064,10;118898,20;352841,50;305970,60;1683518,60
2005:Q2;12910022,00;11209860,80;130667,40;210279,90;189654,30;643746,00;1667801,20;946649,20;721152,10;745248,60;834424,00;368688,60;649640,80;960457,40;1627136,40;843602,50;211390,90;378262,30;132358,30;830317,90;121125,40;356439,80;308618,90;1700160,90
2005:Q3;13142873,00;11423916,20;128250,50;232654,10;200008,30;664197,30;1703061,70;960430,90;742630,80;759656,00;846150,70;382488,30;638820,00;988673,70;1646974,60;857768,70;216883,10;383145,90;134197,70;843332,10;123750,40;361382,00;312521,10;1718957,50
2005:Q4;13332316,00;11593875,10;123996,90;262763,60;210583,40;670825,20;1729883,10;974590,60;755292,50;772124,50;857951,90;393892,00;639026,40;1007843,50;1650629,00;872539,70;218775,30;388268,50;135236,10;853338,20;125094,10;365420,00;315683,70;1738442,00
2006:Q1;13603933,00;11845005,40;119576,90;268211,00;220649,80;698776,40;1780270,90;1004784,20;775486,60;793711,50;867198,40;401547,70;633845,80;1031490,80;1662555,30;901767,20;226202,50;395494,20;140248,30;877188,40;128828,20;376483,60;320958,50;1758929,60
2006:Q2;13749806,00;11971058,30;123277,50;272817,20;226783,00;698489,30;1797640,10;1004086,90;793553,20;807473,50;868315,40;409399,70;652103,10;1025183,30;1687356,50;909820,70;229719,90;395896,40;142356,60;889786,50;130459,40;379250,00;324930,10;1778748,80
2006:Q3;13867469,00;12064197,20;127386,40;277181,90;231892,50;691573,10;1793625,10;994184,90;799440,20;817953,40;872971,20;412459,40;664736,60;1029672,20;1721489,90;918848,90;229764,00;398177,20;143684,60;895361,10;130013,80;381573,80;325832,10;1803272,90
2006:Q4;14037228,00;12210187,20;130281,40;275076,30;228067,80;699492,40;1803845,80;1014589,30;789256,50;826756,70;871273,90;418118,40;657289,30;1050419,10;1767537,30;937852,30;236223,70;406783,40;145402,20;907769,40;132614,50;386923,10;328460,50;1827040,70
2007:Q1;14208569,00;12354120,50;143611,00;282098,30;228257,90;715136,10;1798399,60;1010721,90;787677,70;846275,40;869252,80;407800,90;673683,40;1073919,40;1781593,50;950483,30;248429,00;415277,20;147649,70;914730,30;135353,00;391621,90;330547,70;1854449,50
2007:Q2;14382363,00;12508492,30;138939,10;314483,60;232986,20;722009,60;1853285,60;1029308,40;823977,20;856826,70;869709,40;415321,50;695332,30;1044919,30;1791891,70;963664,70;249097,50;425483,90;149276,80;925926,00;136258,10;393274,90;329805,50;1873872,60
